millesime,region,couleur,format,per,quantite,vin,prix_unitaire,negociant,date,vin_clean
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240724,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240724,Le Pin
2008,Bordeaux,red,75cl,12,0,Le Pin,1725.0,bordeaux_farr_vintners,20240724,Le Pin
2008,Bordeaux,red,75cl,1,6,Le Pin,1725.0,bordeaux_farr_vintners,20240724,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240724,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240724,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240724,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240724,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240724,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240724,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240724,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240724,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240725,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240725,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240725,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240725,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240725,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240725,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240725,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240725,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240725,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240725,Le Pin
2008,Bordeaux,red,75cl,12,0,Le Pin,1725.0,bordeaux_farr_vintners,20240725,Le Pin
2008,Bordeaux,red,75cl,1,6,Le Pin,1725.0,bordeaux_farr_vintners,20240725,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240726,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240726,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240726,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240726,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240726,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240726,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240726,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240726,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240726,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240726,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240727,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240727,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240727,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240727,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240727,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240727,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240727,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240727,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240727,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240727,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240727,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240727,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240728,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240728,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240728,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240728,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240728,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240728,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240728,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240728,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240728,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240728,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240728,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240728,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240729,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240729,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240729,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240729,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240729,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240729,Le Pin
